date_of_drilling,latitude,longtude,use_of_waterpoint,other_useage,funding_source,wrb1a_form_completed,contract_signed,community_agreement,drilling_contractor,driller_licensed,staff_experienced,drilling_rig_model,compressor_specs,equipment_condition,safety_features_condition,equipment_capability,equipment_capability_specs,ppe_available,drilling_equipment_image,location_selection_methodology,hydrogeological_study_done,geophysical_survey_done,min_distance_50m_from_contamination,distance_from_contamination,location_accessible,location_suitable_for_drilling,distance_from_water_bodies,location_photo,perimeter_fence,staff_protected,parking_area,emergency_access,suitable_distance_from_power_lines,distance,materials_stored_safely,chemicals_stored_safely,first_aid_kit,fire_extinguisher,adquate_welfare_facilities,welfare_facilities_distance,site_setup_preliminaries_completed,rig_setup_properly,reference_point,reference_point_height,rig_level_method,rig_setup_problems,setup_problems,drill_rod_length,min_diameter_177mm,min_diameter,casing_stored_properly,where_stored,why_not_properly_stored,index_1,rod_number,depth_from_1,depth_to_1,circulation_method,drill_bit_type,drilling_diameter_mm,time_taken_in_minutes,drilling_comments,water_strike_in_miters,index_2,depth_from_2,depth_to_2,temp_casing_material,temp_casing_diameter,index_3,depth_from_3,depth_to_3,rock_or_soil_type,colour,weathering,grain_size_description,sorting,additional_description,formation_name,index_4,hole_depth_1,discharge_rate_1,discharge_measurement_method,ec_ms_cm_1,tds_mgl_1,ph_1,temp_celcius_1,comments_1,borehole_depth_miters,water_level,measurement_date,borehole_suitable_further_use,installation_design_available,design_agreed_by_driller, date_casing_installation  ,materials_meet_standards,materials_pre_inspected,Index (8),inner_diameter,outer_diameter,material_1,slot_aperture,end_cap_fitted,centralisers_fitted,casing_connection_type  ,index_9,depth_from_4,depth_to_4,casing_inner_diameter,casing_material,casing_material_strength,slotted,gravel_pack_clean, gravel_pack_quality,index_10,depth_from_5,depth_to_5,gravel_min_grain_size,gravel_max_grain_size,gravel_pack_final_level,static_water_level_pre_dev,index_11,duration,method,index_12,time,lift_depth,discharge_rate,ec_ms_cm_3,tds_mg_l_2,ph_3,temp_c_2,turbidity_ntu,sediment,static_water_level_post_dev,final_borehole_design_summary
9/17/2020,-16.1499644,35.257917,Community,,One Foundation,Yes,Yes,Yes,Saifro Limited Malawi,Yes,Yes,AshokelelandPHI 2012,"LG1100300,Ashok leyland",Yes,Yes,Yes,The equipment is capable for drilling to recommended depth and diameter,Yes,https://api.mwater.co/v3/images/5009e11a871640668cec951f989700d6; https://api.mwater.co/v3/images/61bd39e8078b4eb886af5a4991589b43; https://api.mwater.co/v3/images/9a05471148934d0999481ce285a9e871,Community mobilisation,Yes,No,Yes,No toilets or latrines within 50 metres,Yes,Yes,Yes,https://api.mwater.co/v3/images/bcf08783fd4e428d9307ed07a8804bb4,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,Adequate welfare facilities available within suitable distance,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level attached to drilling rig,No,,3,Yes,Drilling diameter is 200,Yes,All PVC casing been stored in the shade out of sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,Yes,Yes,Yes,9/17/2020,Yes,Yes,,,,,,Yes,,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,8,,,,,,,,,,,,,,4,https://api.mwater.co/v3/images/c994dd2d484e4b31b2bec2b9024824d5; https://api.mwater.co/v3/images/67ab089fa0064035ad8db1ce98f36f1c; https://api.mwater.co/v3/images/c5048d70a8404be8b5772bd2707306aa
9/19/2020,-16.1462244,35.2612038,Community,,One foundation,Yes,Yes,Yes,Saifro Malawi,Yes,Yes,Ashokeleyland PHI,LG11000300,Yes,Yes,Yes,The equipment is capable for drillingthe depth and diameter,Yes,https://api.mwater.co/v3/images/5a784ee26c924e2e9a3ae2433522b823; https://api.mwater.co/v3/images/2a90a1f1686142d5a7f1247611ce9a7f; https://api.mwater.co/v3/images/95c434348a524360a555a2ce50d57c4c,Community mobilisation,Yes,Yes,Yes,No sources of contamination,Yes,Yes,Yes,https://api.mwater.co/v3/images/7d4473722dbc4e09a1a283adc65c51f4; https://api.mwater.co/v3/images/a009b562805f435699cfb03387b32447,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,Adequate welfare facilities are available,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level attached to drilling rig,No,,3,Yes,Drilling diameter is 200,Yes,All PVC are in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,9/19/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,8,,,,,,,,,,,,,,3.2,https://api.mwater.co/v3/images/a7635f3f801e4dbb9a44d79772c7c336; https://api.mwater.co/v3/images/dd6ec8bb26ee43cba2d07457b673068f
9/10/2020,-16.1161033,35.3074183,Community,,OneFoundation,Yes,Yes,Yes,Saifro Malawi ,Yes,Yes,Ashokeleland PHI 2012. Model,LG1100300 Ashokeleland,Yes,Yes,Yes,Very strong and capable ,Yes,https://api.mwater.co/v3/images/2a6a8063b8b643c9a9078c55d3287351; https://api.mwater.co/v3/images/50ba224b329946b0bd7670d7d0076c24; https://api.mwater.co/v3/images/c8652dae794b476895504f556f37d555; https://api.mwater.co/v3/images/da4b872a1cde487e904e880f6665e3cd; https://api.mwater.co/v3/images/97f6aff02c8a4280aaa48ab6185aac47,Community mobilization ,Yes,Yes,Yes,Proposed driling well off from nearest contamination sources (50m),Yes,Yes,Yes,https://api.mwater.co/v3/images/d4f6a241336c408dbe41ecf13a5dff00; https://api.mwater.co/v3/images/a15beab4b89741f690e2d36b3b5405d8,Yes,Yes,Yes,Yes,Yes,Power lines at a suitable distance,Yes,Yes,Yes,Yes,Yes,Welfare facilities are available at a suitable distance ,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,200mm is the drilling diameter,Yes,PVC casing stored away from direct sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,Yes,Yes,Yes,9/10/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,3.4,,,,,,,,,,,,,,3,https://api.mwater.co/v3/images/bf263db849314cd7be4fcdd074db47b6
9/9/2020,-16.0772998,35.2930684,Community,,One Foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeland PHI 2012,LG1100300,Yes,Yes,Yes,"Equipment capable of drilling the depth, diameter etc as in the work plan",Yes,https://api.mwater.co/v3/images/b9b9cf78a8ac40608f2b3a63682782f0; https://api.mwater.co/v3/images/e5e3d08a1a7d41b09280aecebafd1b78; https://api.mwater.co/v3/images/ba17f7349b6c4501a81f558c1e2573fb,Community mobilization and engagements,Yes,Yes,Yes,"Proposed drilling site well off from contamination sources, 50m",Yes,Yes,Yes,https://api.mwater.co/v3/images/e384be2c9ae04824b6f4914f13c97c47; https://api.mwater.co/v3/images/ad77bf8ab4b54646887062341f61b39a,Yes,Yes,Yes,Yes,Yes,Equipment far from powerlines,Yes,Yes,Yes,Yes,Yes,Welfare facilities available at convenient distance from work area,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,Yes,No problens encountered,3,Yes,200mm is the drilling diameter,Yes,Stored well off from sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,9/9/2020,Yes,Yes,,,,,,Yes,,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,6,,,,,,,,,,,,,,3.5,https://api.mwater.co/v3/images/3c2ecd8a4403462e8107039c6d0e2e09
9/23/2020,-16.1336048,35.2294484,Community,,One Foundation,Yes,Yes,Yes,Saifro,Yes,Yes,AshokelelandPHI 2012,"LG11000300 ,Ashokeleyland",Yes,Yes,Yes,Equipment capable of driling at depthas required,Yes,https://api.mwater.co/v3/images/a3270e296db74f918267d97205041867; https://api.mwater.co/v3/images/4548e5ee921c429a86f525a28aad6558,Community meeting prior to drilling,Yes,No,Yes,Drilling site is at Lea 50 meters from contamination sources,Yes,Yes,Yes,https://api.mwater.co/v3/images/cb81cbab4478406c81e0b29c48684037,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level attached to drilling rig,No,,3,Yes,The drill in diameter is 200,Yes,All PVC has been stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,Yes,Yes,Yes,9/24/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3.2,3.1,,,,,,,,,,,,,,2,https://api.mwater.co/v3/images/d2b9b809478e4ad8b5c3c07f48f09299
9/8/2020,-16.1476859,35.2673657,Community,,One Foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,AshokelelandPHI 2012," Ashokeland ,LG1100300",Yes,Yes,Yes,The equipment is capable,Yes,https://api.mwater.co/v3/images/c711865491394320af096c6fa7198dfd; https://api.mwater.co/v3/images/e9d2783383de4dd585a23684ed61b931; https://api.mwater.co/v3/images/dfc0b80ca8f64ae28025effd9d7c3e44,The site was chosen through community mobilization at least 3 places were chosen,Yes,No,Yes,No toilets were seen within 50 meters ,Yes,Yes,Yes,https://api.mwater.co/v3/images/1594d3ecdbfd44ba9bec301eb3f48c15,Yes,Yes,Yes,Yes,Yes,No power lines as the area is Rural,Yes,Yes,Yes,Yes,Yes,Adequate welfare facilities available,Yes,Yes,Drilling/Rotary Table,1.6,Spirit level attached to drilling rig,No,,3,Yes,200mm,Yes,PVC casting stored in the shade out of sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,Yes,Yes,Yes,9/9/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,4,5,,,,,,,,,,,,,,6,https://api.mwater.co/v3/images/10e962865483483292e0b4748f32c930; https://api.mwater.co/v3/images/585cf22ac362455e833c65317c1a92dd; https://api.mwater.co/v3/images/5d028897c0ce4b33a0f917e80221b921
9/17/2020,-16.1408673,35.2201676,Community,,Onefoundation,Yes,Yes,Yes,Saifro Limited Malawi,Yes,Yes,AshokelelandPHI 2012,LG1100300,Yes,Yes,Yes,All equipment  are capable,Yes,https://api.mwater.co/v3/images/cb3dd58282fb4049907c43f3a4fb873b,Community mobilisation,Yes,Yes,Yes,No toilets or latrines,Yes,Yes,Yes,https://api.mwater.co/v3/images/f041c36b3da046e4b585e44db278b581; https://api.mwater.co/v3/images/5c145896bf4044d5bbaf12a9987c04a9,Yes,Yes,Yes,Yes,Yes,There are no powerlines,Yes,Yes,Yes,Yes,Yes,There were adequate ware fare facilities,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level attached to drilling rig,Yes,"There were boulders,and small trees",3,Yes,Drilling diameter is 200,Yes,All installation materials are in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2020,-16.121655,35.286094,Community,,One foundation,Yes,Yes,Yes,Saifro Malawi Limited,Yes,Yes,Ashokeleland PHI,LG1100300,Yes,Yes,Yes,"The equipment is capable of drilling the depth, diameter and methods required in he work plan",Yes,https://api.mwater.co/v3/images/6ca9dfeb70bc4357acc57f3e0e6466c3; https://api.mwater.co/v3/images/a61de6ca862645499639238b7157a35e; https://api.mwater.co/v3/images/3f48eeb80fd54bd4b0e9993c06dc527b; https://api.mwater.co/v3/images/73788a4d88304b209a22c7a8c2a05310,Community engagement and concesus with community leaders and management,Yes,No,Yes,Drilling location is more than 50 meters away from contamination sources,Yes,Yes,Yes,https://api.mwater.co/v3/images/37e188491f1845e4947462aa8418db99; https://api.mwater.co/v3/images/d320b5524a6445a18560f1d959c78169,Yes,Yes,Yes,Yes,Yes,There are no power lines in the area,Yes,Yes,Yes,Yes,Yes,Adequate welfare facilities are available with I suitable distance,Yes,Yes,Drilling/Rotary Table,1,Spirit level on rods,No,,3.1,Yes,Diameter was we at 200mm for the start,Yes,PVC casing been stored in the shade out of sunlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,9/11/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,7,,,,,,,,,,,,,,6,https://api.mwater.co/v3/images/0492845c2d5f40c6b67c3d901691c498; https://api.mwater.co/v3/images/fd875a53592049ae95308efe6ff0cc01; https://api.mwater.co/v3/images/3ff1e3dad63345d2a9795f0020c0a71f
9/15/2020,-16.1125776,35.2602816,Community,,One foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleyland PHI 2012,"LG11000300,ashokeleyland",Yes,Yes,Yes,The equipment is capable,Yes,https://api.mwater.co/v3/images/ac69c027bde34514a95098e83751ece4; https://api.mwater.co/v3/images/755e0fa632c84519abc53328035ca267; https://api.mwater.co/v3/images/3fd17247d87246a7b99ead134dcefb9b,Community mobilisation,Yes,No,Yes,The site is 50 m away from areas of contamination,Yes,Yes,Yes,https://api.mwater.co/v3/images/a6352b2b791a4c71a7efdecbaa0723f8,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.4,Spirit level attached to drilling rig,No,,3,Yes,The drilling diameter is 200,Yes,All PVC bn stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2020,-16.122291,35.2846604,Community,,One foundation,Yes,Yes,Yes,Saifro Limited Malawi,Yes,Yes,"Ashokeleyland,PHI,2012","LG1000300,Ashokeleland",Yes,Yes,Yes,"Equipment capable of drilling the depth,diameter,per workplan",Yes,,Community mobilisati,Yes,Yes,Yes,"No pit latrines,waste dump or any source of contamination",Yes,Yes,Yes,https://api.mwater.co/v3/images/4fb91004f5aa416e9a466475b296a001; https://api.mwater.co/v3/images/304504ed6bda4e90825f0baa4cdab62f,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate warefare facilities available,Yes,Yes,Drilling/Rotary Table,1.1,Spirit level attached to drilling rig,Yes,There were trees and rocks on the passage to the site,3,Yes,The drilling diameter is 200,Yes,All PVC pipes bn stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2020,-16.1161367,35.3074683,Community,,One foundation,Yes,Yes,Yes,Saifro Malawi,Yes,Yes,AshokeleylandPHI2012,LG11000300,Yes,Yes,Yes,Equipment is capable,Yes,https://api.mwater.co/v3/images/eec2fc8d8d684ad9a74dd7e81a665f59; https://api.mwater.co/v3/images/286d765bed3e4543a927b908cf593151,Community mobilisation,Yes,Yes,Yes,The drilling location is at least 50 meters from pit latrines and toilets,Yes,Yes,Yes,https://api.mwater.co/v3/images/3766185a28b446419d68d178b64477bc,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.4,Spirit level attached to drilling rig,Yes,The terrain was not that good,3,Yes,The drilling diameter is 200,Yes,PVC been stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2020,-16.05362396,35.29192536,Community,,One Foundation,Yes,Yes,Yes,Saifro Drilling Company,Yes,Yes,PHL Ashok Leyland,"ELGI
PG1100S-300",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/1e5575b4ab6841dd9ca15c0c6bb62dd3; https://api.mwater.co/v3/images/edf80207587a4e79806b70a8483fdeda; https://api.mwater.co/v3/images/8c84d75d2fad47a785c423fa13b5bbf0; https://api.mwater.co/v3/images/293442f685434a06ac327e76797cfa28,Community mobilization and the village was told to identify 2 sites,Yes,No,Yes,,Yes,Yes,,https://api.mwater.co/v3/images/064759c7465942dab716828a30e3feb2,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,Yes,Yes,Yes,9/5/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,4.8,,,,,,,,,,,,,,5,https://api.mwater.co/v3/images/4eebe4f8edf746749d9ddb86375fbc25; https://api.mwater.co/v3/images/abccbcf5c5df41e397b233d344241ffd
9/24/2020,-16.1577142,35.2310691,Community,,one foundaton,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleyland LG11000300,AshokeleylandPHI 2012,Yes,Yes,Yes,The equipment is capable of drilling,Yes,https://api.mwater.co/v3/images/b964d3ea39e44b0986a7702960fecd4f; https://api.mwater.co/v3/images/efb19e8da2f74270ae1b4ca9cfe234f1,Community mobilisation,Yes,Yes,Yes,The proposed drilling site is at least 50 meters,Yes,Yes,Yes,https://api.mwater.co/v3/images/e908ccdddad24a5ba3f51a7ea1f878c8; https://api.mwater.co/v3/images/4665519d4b1046639a4532f42cb5b732,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level attached to drilling rig,No,,3,Yes,The drilling diameter is 200 and 180mm,Yes,The PVC has been stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,Yes,Yes,Yes,9/25/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,12,,,,,,,,,,,,,,4,https://api.mwater.co/v3/images/bcca2a2edff940bf804988fc2a4ceabb
9/14/2020,-16.1551007,35.269128,Community,,One foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleyland PHI2012 model,"LG11000300,Ashokeleland",Yes,Yes,Yes,The drilling equipment is capable,Yes,https://api.mwater.co/v3/images/6563b7591926412f88d911d7eec6e3da; https://api.mwater.co/v3/images/d3bd5f8eb60443b4b5cb57d89456e9bb; https://api.mwater.co/v3/images/dc4afb304bc54400b37a94996b252073; https://api.mwater.co/v3/images/f7c91b916a87444b8c16da70935b2fb3; https://api.mwater.co/v3/images/aafc135922954e3dbeaabf226f48c0ab,Community mibilisation,Yes,Yes,Yes,The site is at least 50m  away from sources of contamination,Yes,Yes,Yes,https://api.mwater.co/v3/images/294a3f437f0d4a938bbe5d90842adc94; https://api.mwater.co/v3/images/0c4dadaac90f4b8f8642207dd68f997d,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level attached to drilling rig,No,,3,Yes,The drilling diameter is 200,Yes,Am PVC has been stored in the shadw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2020,-16.148433,35.2854264,Community,,One foundation,Yes,Yes,Yes,Saifro Limited Malawi,Yes,Yes,Ashokeleyland PHI 2012 model,Ashokeleland LG 11000300,Yes,Yes,Yes,The equipment is capable of drilling the depth and diameter,Yes,https://api.mwater.co/v3/images/0d5c0f50995a4e5598ada3c29465dd61; https://api.mwater.co/v3/images/d5f9b42c10834bd39e4a467c95f61a91; https://api.mwater.co/v3/images/b9790d809747441a9c557ae81138f63b; https://api.mwater.co/v3/images/b2ec34203182455e8be8e919ffb8653d,Community mobilisation,Yes,No,Yes,Proposed drilling site is at least 50 meters away from contamination sources,Yes,Yes,Yes,https://api.mwater.co/v3/images/5521f2f2e81340a2af734db188688c92; https://api.mwater.co/v3/images/2301f05849874a3eb5f41626c5cb9083; https://api.mwater.co/v3/images/c34b244bf386423ebc720027e69fb6ac,Yes,Yes,Yes,Yes,Yes,No power lines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.4,Spirit level attached to drilling rig,No,,3,Yes,The drilling diameter is 200,Yes,PVC has been stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2020,-16.1480523,35.2663988,Community,,One Foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleland PHI 2012,"LG11000300,Ashokeleland",Yes,Yes,Yes,Equipment capable of drilling the depth,Yes,https://api.mwater.co/v3/images/e0c9bb4cde3a4295b1d2854af6a1232b; https://api.mwater.co/v3/images/920301077039478abad317f59dd0a40c; https://api.mwater.co/v3/images/624858a181fc418e82d771a592dea7ae; https://api.mwater.co/v3/images/66f54a114a2c499d9329ff531a557c08; https://api.mwater.co/v3/images/c25acae71d16495791816496d87c45fa,Community mobilisation,Yes,Yes,Yes,The location is 50 meters from nearest contamination source,Yes,Yes,Yes,https://api.mwater.co/v3/images/c95838eac42447cda71e8d88a1552516,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.5,Spirit level attached to drilling rig,No,,3,Yes,The drilling diameter is 200 and 180,Yes,All materials been stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2020,-16.1475811,35.2673672,Community,,One foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleland PHI 2012 model,LG 11000300,Yes,Yes,Yes,Equipment is capable for drilling the depth and diameter,Yes,https://api.mwater.co/v3/images/597fc5390fc3415b903c50f77a5d707a; https://api.mwater.co/v3/images/3fae04c2c9f741a4bcbf7c99c768310c; https://api.mwater.co/v3/images/397808487ae049478d949b4b2b6853be; https://api.mwater.co/v3/images/3006d3b8fd6a44e6a1be8ca6946d3552,Community Mobilisation,Yes,Yes,Yes,The location is 50 meters away from sources of contamunation,Yes,Yes,Yes,https://api.mwater.co/v3/images/1e972b893f274727bfe8685d36677dce; https://api.mwater.co/v3/images/17446a76d4f44af49e509637f087c1c3; https://api.mwater.co/v3/images/62890270ac3c46598f746c73abed8ac3,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate welfare facilities,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level attached to drilling rig,No,,3,Yes,Drilling diameter is 200mm  and 180mm,Yes,All PVC have been stored in shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2020,-16.1227793,35.2860846,Community,,One foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleyland PH1,"Ashokeleland PG11000300,2012 model",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/456b0762369145629cc45dc5f94bf27b; https://api.mwater.co/v3/images/9311d9820c6b4f9d8e406d0611bfa6ab; https://api.mwater.co/v3/images/75c36df7c100490cbc8e1cb8ed1d851f,Community mobilisation,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/1c7e012adcf0484cac2a4cb7835535c7,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level attached to drilling rig,No,,3,Yes,Drilling diameter is 200 and 180mm,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,10/2/2020,Yes,Yes,,,,,,Yes,No,Solvent Cement,,,,,,,,Yes,Yes,,,,,,3,6.5,,,,,,,,,,,,,,4,https://api.mwater.co/v3/images/13d721f7bb07497097ef747f40afdc74; https://api.mwater.co/v3/images/244b96819b17447581177257d3fff463
9/20/2020,-16.1562664,35.2684448,Community,,one foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,"PHI,Ashokeleland 2012 model",LG11000300,Yes,Yes,Yes,Equipment is capable of drilling the depth and diameter,Yes,https://api.mwater.co/v3/images/dc4ba20c6eed47a29c83646a12c218a6; https://api.mwater.co/v3/images/6856795d7605402ba70488be556febe4,Community mobilisation,Yes,Yes,Yes,The site is 50 meters away from sources of contamination,Yes,Yes,Yes,https://api.mwater.co/v3/images/37ec248c3f074dc6ac56b9da64d7fceb,Yes,Yes,Yes,Yes,Yes,No powerlines,Yes,Yes,Yes,Yes,Yes,There are adequate facilities in the working area,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,The drilling diameter is 200,Yes,All PVC stored in shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2020,-16.0682596,35.2956388,Community,,One Foundation,Yes,Yes,Yes,Saifro Ltd,Yes,Yes,Ashokeleland,LG1100300,Yes,Yes,Yes,Equipment is capable of drilling required depth and diameter,Yes,https://api.mwater.co/v3/images/f84b7a7aa203434cadfd6a6e3af94278; https://api.mwater.co/v3/images/d7566a53493c45c7a0b36a752a6bb21b; https://api.mwater.co/v3/images/30ff4f8151354595adc7c1a924647e76,Community mobilization and sensitization,Yes,Yes,Yes,Proposed drilling location is at least 50 m from contamination areas,Yes,Yes,Yes,https://api.mwater.co/v3/images/794b001669174dca8e63dcc3a52fe9f9,Yes,Yes,Yes,Yes,Yes,No power line in the area,Yes,Yes,Yes,Yes,Yes,"Yes, welfare facilities are available at a suitable distance from working area",Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,No,,3,Yes,Drilling diameter used was 180mm,Yes,PVC casings been stored in the shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Yes,Yes,Yes,10/6/2020,Yes,Yes,,,,,,Yes,,Solvent Cement,,,,,,,,Yes,Yes,,,,,,2.8,3,,,,,,,,,,,,,,3.1,https://api.mwater.co/v3/images/6da6a113246e4d418a53f472e84fd6cf
10/5/2020,-16.140611,35.2429205,Community,,One Foundation,Yes,Yes,Yes,Saifro Limited,Yes,Yes,Ashokeleland,LG1100300,Yes,Yes,Yes,The equipment is capable of drilling the required depth and diameter as per requirements,Yes,https://api.mwater.co/v3/images/4f06b12f9b21423db18f9c30b4492b31; https://api.mwater.co/v3/images/32e9bcbcc61245d3a3ef786abbdaac02; https://api.mwater.co/v3/images/0563b58c882a4525b0a9cbc3fe63ee93,Community mobilization ,Yes,Yes,Yes,Drilling location is well off from contamination sources,Yes,Yes,Yes,https://api.mwater.co/v3/images/5ae5db0dd79f4585a3d5e3f60eebfc50,Yes,Yes,Yes,Yes,Yes,There are no power lines in the village,Yes,Yes,Yes,Yes,Yes,Adequate welfare facilities available within a suitable distance to the work area,Yes,Yes,Drilling/Rotary Table,1,Spirit level attached to drilling rig,Yes,No problems encountered,3,Yes,"Yes, at least 177mm diameter",Yes,PVC casing stored in shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,Yes,Yes,Yes,10/5/2020,Yes,Yes,,,,,,Yes,,Solvent Cement,,,,,,,,Yes,Yes,,,,,,2.5,2.5,,,,,,,,,,,,,,3,https://api.mwater.co/v3/images/f9172b0e2de549b498865ecb717fe8d5
